price,hall_effect,hotswap,backlight,screen,knob,category_encoded,brand_encoded,layout_encoded,mount_encoded,case_material_encoded,connectivity_encoded
99.0,0,0,1,0,0,2,36,2,3,1,1
79.0,0,0,1,0,0,2,36,2,3,1,1
90.0,0,0,0,0,0,2,36,0,3,1,1
99.0,0,0,1,0,0,2,36,0,3,1,1
99.0,0,0,1,0,0,2,36,0,3,1,1
104.0,0,0,1,0,0,2,36,0,3,1,1
89.0,0,0,1,0,0,2,36,3,3,1,1
87.0,0,0,1,0,0,2,36,3,3,1,1
99.0,0,0,0,0,0,2,36,0,3,1,1
95.0,0,0,0,0,0,2,36,0,3,1,1
129.0,0,1,1,0,0,2,36,9,3,1,1
104.0,0,1,1,0,0,2,36,9,3,1,1
84.0,0,1,0,0,0,2,36,0,3,1,1
119.0,0,1,1,0,0,2,36,9,3,1,1
119.0,0,1,1,0,0,2,36,9,3,1,1
109.0,0,1,1,0,0,2,36,0,3,1,1
103.0,0,1,1,0,0,2,36,3,3,1,1
109.0,0,1,0,0,0,2,36,9,3,1,1
109.0,0,1,0,0,0,2,36,9,3,1,1
79.0,0,1,1,0,0,2,36,2,3,1,1
94.0,0,1,1,0,0,2,36,2,3,1,1
94.0,0,1,1,0,0,2,36,2,3,1,1
99.0,0,1,1,0,0,2,36,2,3,1,1
94.0,0,1,1,0,0,2,36,2,3,1,1
99.0,0,1,1,0,0,2,36,2,3,1,1
109.0,0,1,1,0,0,2,36,2,2,1,1
99.0,0,1,1,0,0,2,36,2,3,1,1
119.0,0,1,1,0,0,2,36,9,3,1,1
149.0,0,1,1,0,0,2,36,0,2,1,1
119.0,0,1,1,0,0,2,36,9,3,1,1
89.0,0,1,1,0,0,2,36,3,3,1,1
103.0,0,1,1,0,0,2,36,3,3,1,1
109.0,0,1,1,0,0,2,36,3,3,1,1
109.0,0,1,1,0,0,2,36,3,3,1,1
134.0,0,1,1,0,0,2,36,3,3,1,1
109.0,0,1,1,0,0,2,36,3,3,1,1
109.0,0,1,1,0,0,2,36,3,3,1,1
109.0,0,0,0,0,0,2,36,0,3,1,1
74.0,0,0,0,0,0,2,36,0,3,1,1
