title,price,layout,mount,hall_effect,hotswap,case_material,backlight,connectivity,screen,knob
Gateron invictus iG 98 Bonanza,$89,"98%,",Plate Mount,no,yes,n/a,yes,"Wireless,",no,yes
Gateron invictus iG 98 Mountain Top,$109,"98%,",Plate Mount,no,yes,n/a,yes,"Wireless,",no,yes
Gateron invictus iG 98 Splashing Ink,$104,"98%,",Plate Mount,no,yes,n/a,yes,"Wireless,",no,yes
Gateron invictus iG 98 Sweet Time,$99,"98%,",Plate Mount,no,yes,n/a,yes,"Wireless,",no,yes
GeekElite Lio87,$99,"80%,",Gasket Mount,no,no,n/a,yes,"Wireless,",no,yes
Geeksdontpanic Hajimari65,$200,"65%,",Gasket Mount,no,yes,"Alu case,",no,n/a,no,no
Geon F18X V2,$340,n/a,Gasket Mount,no,no,"Alu case,",no,n/a,no,no
Geon MOJO Pad Pigeon,$89,n/a,Gasket Mount,no,yes,n/a,yes,"Wireless,",no,no
Glorious PC,$55,"80%,",n/a,no,yes,Alu case,yes,"Wired,",no,no
Glorious PC Compact,$89,"60%,",n/a,no,yes,n/a,yes,n/a,no,no
Glorious PC Ice,$87,"60%,",Plate Mount,no,yes,n/a,yes,"Wired,",no,no
Glorious PC Pro Slate Hotwswap,$169,"75%,",Gasket Mount,no,yes,"Alu case,",yes,n/a,no,yes
Glorious PC V2,$89,"96%,",Plate Mount,no,yes,"Alu case,",yes,"Wired,",no,no
Gopolar GG75,$89,"75%,",Gasket Mount,no,yes,n/a,yes,n/a,yes,yes
Gopolar TaiChi GG86,$149,"80%,",Gasket Mount,no,no,n/a,no,n/a,yes,no
Gopolar TaiChi GG87,$159,"80%,",Gasket Mount,no,no,n/a,no,n/a,yes,no
GravaStar Mercury K1,$139,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
HEXCORE W800,$99,"75%,",n/a,no,yes,n/a,yes,"Wireless,",no,no
HHKB Classic Topre,$204,"60%,",Plate Mount,no,no,n/a,no,"Wired,",no,no
HHKB Hybrid Topre,$229,"60%,",Plate Mount,no,no,n/a,no,"Wireless,",no,no
HHKB Hybrid TypeS SNOW 25th Anniversary Edition,$350,"60%,",Plate Mount,no,no,n/a,no,"Wireless,",no,no
HHKB Hybrid TypeS Topre Silent,$259,"60%,",Plate Mount,no,no,n/a,no,"Wireless,",no,no
HHKB Studio,$289,"60%,",Plate Mount,yes,yes,n/a,no,"Wireless,",no,no
HIBI CHOPPER,$125,"40%,",Tray Mount,no,yes,n/a,no,n/a,no,no
HIBI JUNE,$140,"60%,",Tray Mount,no,yes,n/a,no,n/a,no,no
HIBI JUNE R3,$140,"60%,",Tray Mount,no,yes,n/a,no,n/a,no,no
HIBI JUNIOR Numpad,$93,n/a,Tray Mount,no,yes,n/a,no,n/a,no,no
HMX Click Inc Macaron65,$169,"65%,",Gasket Mount,yes,yes,"Alu case,",no,"Wired,",no,no
Haverworks Theseus75,$449,n/a,Gasket Mount,no,yes,"Alu case,",yes,"Wired,",no,yes
Heavy shell Barix87 Pro,$285,"80%,",Gasket Mount,no,yes,"Alu case,",yes,"Wired,",no,no
Heavy shell Kira96,$155,"96%,",n/a,no,yes,Alu case,yes,"Wireless,",no,no
Helix lab Aaru Divine Egyptian Hieroglyphic Relievo,$995,"80%,",n/a,no,yes,Alu case,yes,"Wired,",no,no
Helix lab Aaru Egyptian Hieroglyphic Relievo,$799,"80%,",n/a,no,yes,Alu case,yes,"Wired,",no,no
Hexgears Gemini,$109,"80%,",Plate Mount,no,yes,n/a,yes,"Wired,",no,no
Hexgears Gemini Dawn,$139,"80%,",Plate Mount,no,yes,"Alu case,",yes,"Wired,",no,no
Hexgears Gemini Dusk,$149,"80%,",Plate Mount,no,yes,"Alu case,",yes,"Wired,",no,no
Hexgears Impulse,$84,n/a,Plate Mount,no,yes,n/a,yes,n/a,no,no
Hexgears Nova Laser Etched,$69,"80%,",Plate Mount,no,no,"Alu case,",yes,"Wired,",no,no
Hexgears Venture Low Profile,$109,"100%,",n/a,no,no,Alu case,yes,"Wireless,",no,no
Hexgears X1,$109,"80%,",Plate Mount,no,no,"Alu case,",yes,"Wireless,",no,no
Hiexa V65,$139,"65%,",n/a,no,yes,Alu case,no,"Wireless,",no,no
Hiexa V75,$149,"75%,",n/a,no,yes,Alu case,no,"Wireless,",no,no
Hiexa V80,$159,"80%,",n/a,no,yes,Alu case,no,"Wireless,",no,no
Hiexa VPad Numpad,$85,n/a,PCB Mount,no,yes,"Alu case,",no,"Wireless,",no,yes
Homoo KF068,$53,"65%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,yes
Hyeku Y Serial,$119,"100%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",yes,no
IQUNIX A80 Explorer,$84,"80%,",n/a,no,yes,n/a,yes,"Wireless,",no,no
IQUNIX F65 Camping,$150,"65%,",n/a,no,yes,Alu case,yes,"Wireless,",no,no
IQUNIX F65 Graffiti Diary,$155,"65%,",n/a,no,yes,Alu case,yes,"Wireless,",no,no
IQUNIX F65 Hitchhiker,$155,"65%,",n/a,no,yes,Alu case,yes,"Wireless,",no,no
IQUNIX F97 Camping,$209,"97%,",n/a,no,yes,Alu case,yes,"Wireless,",no,no
IQUNIX F97 Coral Sea,$219,"97%,",n/a,no,yes,Alu case,yes,"Wireless,",no,no
IQUNIX F97 Graffiti Diary,$219,"97%,",n/a,no,yes,Alu case,yes,"Wireless,",no,no
IQUNIX F97 Happy Ape,$229,"97%,",n/a,no,yes,Alu case,yes,"Wireless,",no,no
IQUNIX F97 Hitchhiker,$209,"97%,",n/a,no,yes,Alu case,yes,"Wireless,",no,no
IQUNIX F97 Lavandin,$219,"97%,",n/a,no,yes,Alu case,yes,"Wireless,",no,no
IQUNIX F97 Side,$209,"97%,",n/a,no,yes,Alu case,yes,"Wireless,",no,no
IQUNIX F97 Wintertide,$209,"97%,",n/a,no,no,n/a,yes,n/a,no,no
IQUNIX L80 Christmas,$169,"80%,",n/a,no,no,n/a,yes,n/a,no,no
IQUNIX L80 Formula Typing,$84,"80%,",n/a,no,yes,n/a,yes,"Wireless,",no,no
IQUNIX M80 Purry Cat,$109,"80%,",n/a,no,no,n/a,no,"Wireless,",no,no
IQUNIX OG80 Camping,$179,"80%,",n/a,no,yes,n/a,yes,"Wireless,",no,no
IQUNIX OG80 Happy Ape,$189,"80%,",n/a,no,yes,n/a,yes,"Wireless,",no,no
IQUNIX OG80 Hitchhiker,$179,"80%,",n/a,no,yes,n/a,yes,"Wireless,",no,no
IQUNIX OG80 Lavandin,$179,"80%,",n/a,no,yes,n/a,yes,"Wireless,",no,no
IQUNIX OG80 Side,$179,"80%,",n/a,no,yes,n/a,yes,"Wireless,",no,no
IQUNIX OG80 Side RS Version,$189,"80%,",n/a,no,yes,n/a,yes,"Wireless,",no,no
IQUNIX OG80 Tangerine,$199,"80%,",n/a,no,yes,n/a,no,"Wireless,",no,no
IQUNIX OG80 Wintertide,$189,"80%,",n/a,no,yes,n/a,yes,"Wireless,",no,no
IQUNIX OG80 Wormhole,$169,"80%,",n/a,no,yes,n/a,yes,"Wireless,",no,no
IQUNIX Q66 Fluorescence,$145,"66%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,no
IQUNIX Q66 Happy Ape,$145,"66%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,no
IQUNIX Q66 Summer Tour,$140,"66%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,no
IQUNIX ZX75 Camping,$169,"75%,",n/a,no,yes,n/a,yes,"Wireless,",no,yes
IQUNIX ZX75 Gravity Wave,$179,"75%,",n/a,no,yes,n/a,yes,"Wireless,",no,yes
IQUNIX ZX75 Happy Ape,$179,"75%,",n/a,no,yes,n/a,yes,"Wireless,",no,yes
IQUNIX ZX75 Side,$179,"75%,",n/a,no,yes,n/a,yes,"Wireless,",no,yes
IQUNIX ZX75 Side RS Version,$189,"75%,",n/a,no,yes,n/a,yes,"Wireless,",no,no
Idobao Fragrance,$189,"65%,",Gasket Mount,no,yes,n/a,no,"Wireless,",no,no
Idobao ICE,$279,"65%,",Gasket Mount,no,yes,"Alu case,",yes,n/a,no,no
Idobao ID67 V2,$149,"65%,",n/a,no,yes,Alu case,yes,"Wired,",no,no
Idobao ID67plus,$258,"65%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Idobao ID80 LAVA,$319,"80%,",Gasket Mount,no,yes,n/a,yes,n/a,no,no
Idobao ID80V2 /,$215,"80%,",n/a,no,yes,Alu case,no,"Wired,",no,no
Idobao ID87 Bestype Weight,$299,n/a,Gasket Mount,no,yes,"Alu case,",yes,"Wired,",no,no
Idobao ID87 V2,$229,"80%,",n/a,no,yes,Alu case,no,"Wired,",no,no
Idobao ID96 Solder,$140,"96%,",Top Mount,no,no,"Alu case,",no,n/a,no,no
Idobao Very Peri Series MX,$139,"65%,",PCB Mount,no,yes,"Alu case,",yes,"Wired,",no,no
Ikbc C87/C200/C104/C210,$79,"100%,",n/a,no,no,Alu case,no,"Wired,",no,no
Ikbc CD87 V2 Ergonomic,$89,80%,n/a,no,no,n/a,no,n/a,no,no
Ikbc Table E 401,$84,"80%,",Plate Mount,no,no,n/a,no,"Wired,",no,yes
Ikbc W200 2.4G BT,$89,"80%,",n/a,no,no,n/a,no,"Wireless,",no,no
Ikbc W200 Mini W210 2.4G BT,$89,"100%,",n/a,no,yes,n/a,no,"Wireless,",no,no
Infiverse Infi75,$105,"75%,",Gasket Mount,no,no,n/a,no,"Wireless,",yes,no
Irok IYX MU68/MU68 Pro,$109,"65%,",n/a,yes,yes,Alu case,yes,"Wired,",no,no
Irok ND63 Pro,$99,n/a,n/a,yes,yes,Alu case,yes,"Wired,",no,no
Irok ND75,$89,"75%,",Gasket Mount,yes,yes,"Alu case,",yes,"Wired,",no,no
Jamesdonkey A3,$47,"75%,",Gasket Mount,no,yes,n/a,no,"Wireless,",no,yes
Jamesdonkey A3 3.0,$89,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Jamesdonkey A3 Cyan,$71,"75%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,yes
Jamesdonkey A3 Rosy,$47,"75%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,yes
Jamesdonkey R2,$149,"96%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Jamesdonkey R2 2.0,$179,"96%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Jamesdonkey R2 Aluiminum,$179,"100%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Jamesdonkey R2 Pro,$159,"95%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",yes,yes
Jamesdonkey R4,$166,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Jamesdonkey RS2,$89,"100%,",Gasket Mount,no,yes,n/a,no,"Wireless,",no,yes
Jamesdonkey RS2 2.0,$80,"96%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,yes
Jamesdonkey RS2 3.0,$85,"96%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",yes,yes
Jamesdonkey RS2 3.0 Rosy,$115,"95%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",yes,yes
Jamesdonkey RS2 4.0,$99,"96%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Jamesdonkey RS2 Aluiminum,$199,"96%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Jamesdonkey RS2 Cyberpunk Aluiminum,$219,"96%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Jamesdonkey RS2 Guiqi,$142,"96%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,yes
Jamesdonkey RS2 Light,$69,"96%,",Gasket Mount,no,yes,n/a,no,"Wireless,",no,yes
Jamesdonkey RS2 Rosy,$72,"96%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,yes
Jamesdonkey S1,$48,"75%,",n/a,no,no,Alu case,no,"Wireless,",no,no
Jamesdonkey S2,$95,"96%,",n/a,no,no,Alu case,no,"Wireless,",no,no
KBDFans BOOP REDUX Top,$311,"65%,",Gasket Mount,no,yes,"Alu case,",no,"Wired,",no,no
KBDFans DUSK67 Walnut,$144,"65%,",Gasket Mount,no,yes,n/a,no,n/a,no,no
KBDFans Dusk 67 Wood,$126,"60%,",Gasket Mount,yes,yes,n/a,no,"Wired,",no,no
KBDFans Dusk67,$109,"65%,",Gasket Mount,no,yes,n/a,no,n/a,no,no
KBDFans KBD67 Lite R3,$114,"60%,",Plate Mount,no,yes,n/a,yes,"Wired,",no,no
KBDFans KBD67 R1 Lite,$103,"60%,",n/a,no,yes,n/a,yes,"Wired,",no,no
KBDFans KBD75 v3.1 Burgundy,$219,"75%,",Top Mount,no,yes,"Alu case,",yes,n/a,no,no
KBDFans KBD75 v3.1 Light,$197,"75%,",Top Mount,no,yes,"Alu case,",yes,n/a,no,no
KBDFans KBD75 v3.1 PC Plate Pine,$219,"75%,",Top Mount,no,yes,"Alu case,",yes,"Wired,",no,no
KBDFans KBDPad Mark 2 Numpad,$87,n/a,Top Mount,no,no,"Alu case,",no,n/a,no,no
KBDFans KBDPad Mark 2 Rose Numpad,$87,n/a,Top Mount,no,no,"Alu case,",no,n/a,no,no
KBDFans Margo,$249,"65%,",Gasket Mount,no,yes,"Alu case,",yes,"Wired,",no,no
KBDFans Pavlov,$255,"65%,",Top Mount,no,yes,"Alu case,",no,"Wired,",no,no
KBDFans TOFU60 2.0 WKL,$225,"60%,",Top Mount,no,yes,n/a,no,"Wired,",no,no
KBDFans Tiger Lite,$54,"80%,",Gasket Mount,yes,yes,n/a,yes,"Wired,",no,no
KBDFans Tofu60 2.0,$160,"60%,",Gasket Mount,no,yes,n/a,no,"Wired,",no,no
KBDFans Tofu60 Redux,$111,"60%,",Plate Mount,no,yes,"Alu case,",yes,"Wired,",no,no
KBParadise Flat60,$51,"65%,",Plate Mount,no,no,"Alu case,",yes,"Wired,",no,no
KBParadise V20 Olivette Numpad,$49,n/a,Plate Mount,no,no,n/a,no,"Wired,",no,no
KBParadise V60 GTR,$79,"60%,",Plate Mount,no,no,n/a,no,"Wired,",no,no
KBParadise V60 The 2,$79,"60%,",Plate Mount,no,yes,n/a,yes,n/a,no,no
KBParadise V60 The 2 53 Station,$79,"60%,",Plate Mount,no,yes,n/a,yes,n/a,no,no
KBParadise V60 The 2 Great Wave,$69,"60%,",Plate Mount,no,yes,n/a,no,n/a,no,no
KBParadise V60 The 2 Sun Crane Wave,$69,"60%,",Plate Mount,no,yes,n/a,yes,n/a,no,no
KBParadise V60 Type R,$74,"60%,",Plate Mount,no,no,n/a,no,"Wired,",no,no
KBParadise V60 Type R Deep Ocean,$109,"60%,",Plate Mount,no,no,n/a,yes,"Wired,",no,no
KBParadise V60 Type R Polestar Deep Ocean,$84,"60%,",Plate Mount,no,no,n/a,yes,"Wired,",no,no
KBParadise V60Plus,$79,"60%,",Plate Mount,no,no,n/a,yes,"Wired,",no,no
KBParadise V65 Great Wave,$89,"65%,",Plate Mount,no,yes,n/a,yes,n/a,no,no
KBParadise V80,$101,"80%,",Plate Mount,no,no,n/a,yes,"Wired,",no,no
KBParadise V80 Charcoal,$99,"80%,",Plate Mount,no,no,n/a,no,"Wired,",no,no
KBParadise V80 Front Print,$94,"80%,",Plate Mount,no,no,n/a,no,"Wired,",no,no
KBParadise V80 Miami,$94,"80%,",Plate Mount,no,no,n/a,no,"Wired,",no,no
KBParadise V80 Tomcat,$99,"80%,",Plate Mount,no,no,n/a,no,"Wired,",no,no
KBParadise V80 V2 Crystal Polycarbonate,$96,"80%,",Plate Mount,no,yes,n/a,no,n/a,no,no
KBParadise V80 V2 Great Wave,$102,"80%,",Plate Mount,no,yes,n/a,no,n/a,no,no
KEBOHUB 3inuS EE01 5in1 Hub,$59,"80%,",n/a,no,yes,n/a,yes,"Wired,",no,no
KEEBD Basketweave Alicestyle,$150,n/a,n/a,no,no,n/a,no,"Wired,",no,yes
KEEBD Cantor Remix,$40,n/a,n/a,no,yes,n/a,no,n/a,no,no
KEEBD Choc V,$40,40%,n/a,no,no,n/a,no,n/a,no,no
KEEBD Contra,$25,40%,n/a,no,no,n/a,no,n/a,no,no
KEEBD Corne Choc,$85,n/a,n/a,no,yes,n/a,yes,"Wireless,",yes,no
KEEBD Corne MX,$200,n/a,n/a,no,yes,n/a,no,"Wireless,",no,no
KEEBD Corne v3,$80,n/a,n/a,no,yes,n/a,yes,n/a,yes,no
KEEBD Corne v4 Choc,$200,n/a,n/a,no,yes,n/a,no,n/a,no,no
KEEBD Corne v4 MX,$200,n/a,n/a,no,yes,n/a,no,n/a,no,no
KEEBD Discipad Numpad,$55,n/a,n/a,no,no,n/a,no,n/a,no,no
KEEBD Dumbpad OLED Macropad,$15,n/a,n/a,no,no,n/a,no,n/a,yes,yes
KEEBD ErgoDash,$90,n/a,n/a,no,no,n/a,yes,n/a,no,no
KEEBD ErgoDash Mini,$85,n/a,n/a,no,no,n/a,yes,n/a,no,no
KEEBD Eternal Keypad,$35,n/a,n/a,no,yes,n/a,yes,n/a,no,no
KEEBD Fourier v1.3 Split Staggered,$75,n/a,n/a,no,yes,n/a,no,n/a,no,no
KEEBD Lily58 Choc,$200,n/a,n/a,no,yes,n/a,no,"Wireless,",no,no
KEEBD Lily58 LP,$200,n/a,n/a,no,yes,n/a,no,"Wireless,",no,no
KEEBD Lily58 MX,$200,n/a,n/a,no,yes,n/a,no,Wired,no,no
KEEBD Lily58 Pro,$90,n/a,PCB Mount,no,yes,PCB Mount,no,n/a,yes,yes
KEEBD Lumberjack 5x12 Ortholinear,$90,"60%,",Tray Mount,no,yes,n/a,no,"Wired,",no,no
KEEBD Milk 2%,$10,n/a,n/a,no,no,n/a,no,n/a,no,no
KEEBD MiniNova II,$30,n/a,n/a,no,no,n/a,no,n/a,no,no
KEEBD Model H USB Controller Upgrade IBM Model M,$50,n/a,n/a,no,no,n/a,no,"Wired,",no,no
KEEBD Mt. Choc,$100,65%,n/a,no,no,n/a,no,n/a,no,no
KEEBD Narfpad Macropad,$20,n/a,n/a,no,no,n/a,no,n/a,no,yes
KEEBD Paintbrush,$20,n/a,n/a,no,yes,n/a,no,n/a,yes,no
KEEBD PeeTwo,$10,n/a,n/a,no,no,n/a,no,n/a,no,no
KEEBD Reviung 39 II,$90,"40%,",n/a,no,yes,n/a,yes,n/a,no,no
KEEBD Reviung 41,$95,"40%,",n/a,no,yes,n/a,yes,n/a,no,no
KEEBD Reviung 5,$20,n/a,n/a,no,no,n/a,yes,n/a,no,yes
KEEBD Rhymestone Split,$80,"40%,",n/a,no,yes,n/a,yes,n/a,yes,no
KEEBD Satpad,$35,n/a,n/a,no,no,n/a,no,n/a,yes,yes
KEEBD Sofle v1.1,$90,n/a,n/a,no,yes,n/a,no,n/a,no,no
KEEBD Sofle v2,$90,n/a,n/a,no,yes,n/a,no,n/a,yes,no
KEEBD Sofle v2.1,$90,n/a,n/a,no,yes,n/a,yes,n/a,yes,no
KEEBD Sofle v2.1 Choc,$90,n/a,n/a,no,yes,n/a,no,n/a,yes,no
KEEBD Treadstone48,$80,"50%,",n/a,no,no,n/a,no,n/a,yes,no
KEEBD Yampad v2 Macropad,$30,n/a,n/a,no,yes,n/a,yes,n/a,yes,no
KEEBD dracuLad,$75,n/a,n/a,no,yes,n/a,yes,n/a,yes,yes
Kailh Pulsar Xboard QS,$299,"80%,",Plate Mount,no,yes,"Alu case,",yes,"Wired,",no,yes
Kataaa Model VI,$34,"65%,",n/a,no,no,n/a,no,"Wireless,",no,no
Kbdcraft Adam,$60,"60%,",Gasket Mount,no,yes,n/a,yes,n/a,no,no
Kbdcraft Lilith,$65,"60%,",Gasket Mount,no,yes,n/a,yes,n/a,no,no
Keebwerk Mega,$220,"65%,",Top Mount,no,yes,"Alu case,",yes,"Wired,",no,no
Keebwerk Nano Slider Macropad,$110,n/a,Plate Mount,no,yes,"Alu case,",yes,"Wired,",no,no
Keebwerk Swiss Cheeseboard,$455,"60%,",Top Mount,no,yes,"Alu case,",no,"Wired,",no,no
Keebwerk Synth Labs 060,$430,"60%,",Gasket Mount,no,yes,"Alu case,",yes,"Wired,",no,no
Kemove 1980 Series K87/K98,$75,"98%,",n/a,no,yes,n/a,yes,"Wireless,",no,no
Kenny42 Out of Stock Keylice65,$320,"65%,",Gasket Mount,no,yes,"Alu case,",no,"Wireless,",yes,no
Keychron 81 Pro,$169,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Keychron 81 Pro US,$229,n/a,PCB Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Keychron B1 Pro,$39,"75%,",n/a,no,no,n/a,no,"Wireless,",no,no
Keychron B1 Pro UltraSlim,$39,"75%,",n/a,no,no,n/a,no,"Wireless,",no,no
Keychron B6 Pro,$40,"100%,",Plate Mount,no,no,n/a,no,"Wireless,",no,no
Keychron B6 Pro UltraSlim,$44,"100%,",n/a,no,no,n/a,no,"Wireless,",no,no
Keychron C1,$39,"80%,",Tray Mount,no,yes,n/a,yes,"Wired,",no,no
Keychron C1 Pro,$39,"80%,",Tray Mount,no,yes,n/a,yes,"Wired,",no,no
Keychron C1 Pro US,$71,"80%,",Tray Mount,no,yes,n/a,yes,"Wired,",no,no
Keychron C1 US,$65,"80%,",n/a,no,yes,n/a,yes,"Wired,",no,no
Keychron C2,$40,"100%,",Tray Mount,no,yes,n/a,yes,"Wired,",no,no
Keychron C2 Pro,$44,"100%,",Tray Mount,no,yes,n/a,yes,"Wired,",no,no
Keychron C2 Pro US,$75,"100%,",Tray Mount,no,yes,n/a,yes,"Wired,",no,no
Keychron C2 US,$70,"100%,",n/a,no,yes,n/a,yes,"Wired,",no,no
Keychron C3 Pro US,$51,"80%,",Gasket Mount,no,no,n/a,no,"Wired,",no,no
Keychron K1 Max,$89,"80%,",PCB Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Keychron K1 Max US,$110,"80%,",n/a,no,yes,Alu case,yes,"Wireless,",no,no
Keychron K1 Pro,$83,"80%,",Tray Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Keychron K1 Pro US,$110,"80%,",n/a,no,yes,Alu case,yes,"Wireless,",no,no
Keychron K1 SE Japan Version 5,$59,"80%,",Tray Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Keychron K1 SE US,$79,"80%,",n/a,no,yes,Alu case,yes,"Wireless,",no,no
Keychron K1 SE Version 5,$59,"80%,",Tray Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Keychron K1 Version 5,$56,"80%,",Tray Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Keychron K1 Version 5 US,$105,"80%,",n/a,no,yes,Alu case,yes,"Wireless,",no,no
Keychron K1 Version 6,$84,"80%,",Top Mount,yes,yes,"Alu case,",yes,"Wireless,",no,no
Keychron K1 Version 6 US,$91,"80%,",n/a,no,yes,Alu case,yes,"Wireless,",no,no
Keychron K10,$59,"100%,",Tray Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Keychron K10 ES,$100,"100%,",n/a,no,yes,Alu case,yes,"Wireless,",no,no
Keychron K10 France ISOFR,$87,"100%,",n/a,no,yes,Alu case,yes,"Wireless,",no,no
Keychron K10 German ISODE,$125,"100%,",n/a,no,yes,Alu case,yes,"Wireless,",no,no
Keychron K10 Max,$95,"100%,",PCB Mount,no,yes,PCB Mount,yes,"Wireless,",no,no
Keychron K10 Pro,$87,"100%,",Tray Mount,no,yes,n/a,yes,"Wireless,",no,no
Keychron K10 Pro Russian RU,$102,"100%,",n/a,no,yes,n/a,yes,"Wireless,",no,no
Keychron K10 Pro US,$95,"100%,",PCB Mount,no,yes,PCB Mount,yes,"Wireless,",no,no
Keychron K10 UK,$125,"100%,",n/a,no,yes,Alu case,yes,"Wireless,",no,no
Keychron K10 US,$95,"100%,",n/a,no,yes,Alu case,yes,"Wireless,",no,no
Keychron K10 V2,$94,"100%,",Tray Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Keychron K10 Version 2 US,$100,"100%,",n/a,no,yes,Alu case,yes,"Wireless,",no,no
Keychron K11 Max,$89,"65%,",PCB Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Keychron K11 Pro Alice,$75,"65%,",Tray Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Keychron K11 Pro Alice US,$110,"65%,",n/a,no,yes,Alu case,yes,"Wireless,",no,yes
Keychron K12,$39,"60%,",Tray Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Keychron K12 Laser Etched,$89,"60%,",Plate Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Keychron K12 Pro,$67,"60%,",Tray Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Keychron K12 US,$71,"60%,",n/a,no,yes,Alu case,yes,"Wireless,",no,no
Keychron K13 Max,$89,"80%,",PCB Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Keychron K13 Max US,$114,"80%,",n/a,no,yes,Alu case,yes,"Wireless,",no,no
Keychron K13 Pro,$67,"80%,",Tray Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Keychron K13 Pro US,$95,"80%,",n/a,no,yes,Alu case,yes,"Wireless,",no,no
Keychron K14,$52,"70%,",Tray Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Keychron K14 Pro,$67,"70%,",Tray Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Keychron K14 Pro US,$91,"70%,",n/a,no,yes,Alu case,yes,"Wireless,",no,no
Keychron K15 Max Alice,$99,"75%,",PCB Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Keychron K15 Pro Alice,$75,"75%,",Tray Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Keychron K15 Pro Alice US,$110,"75%,",n/a,no,yes,Alu case,yes,"Wireless,",no,yes
Keychron K17 Max,$94,"96%,",PCB Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Keychron K17 Pro,$71,"96%,",Tray Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Keychron K17 Pro US,$114,"96%,",n/a,no,yes,Alu case,yes,"Wireless,",no,no
Keychron K2 France ISOFR Version 2,$79,"75%,",n/a,no,no,Alu case,yes,"Wireless,",no,no
Keychron K2 German ISODE Version 2,$49,"75%,",Tray Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Keychron K2 HE,$129,"75%,",Tray Mount,yes,yes,"Alu case,",yes,"Wireless,",no,yes
Keychron K2 HE ISODE HallEffect,$135,n/a,n/a,yes,yes,Alu case,no,"Wireless,",no,no
Keychron K2 HE Japan,$139,"75%,",Tray Mount,yes,yes,"Alu case,",no,"Wireless,",no,yes
Keychron K2 HE Wood,$140,"75%,",Plate Mount,yes,yes,"Alu case,",yes,"Wireless,",no,no
Keychron K2 Max,$94,"75%,",PCB Mount,yes,yes,"Alu case,",yes,"Wireless,",no,no
Keychron K2 NonBacklight,$52,"75%,",Tray Mount,no,yes,"Alu case,",no,"Wireless,",no,no
Keychron K2 NonBacklight US,$85,"75%,",n/a,no,yes,Alu case,no,"Wireless,",no,no
Keychron K2 Nordic Version 2,$49,"75%,",Tray Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Keychron K2 Pro,$67,"75%,",Tray Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Keychron K2 Pro US,$83,"75%,",PCB Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Keychron K2 Spanish ISOES Version 2,$103,"75%,",n/a,no,yes,Alu case,yes,"Wireless,",no,no
Keychron K2 UK Version 2,$49,"75%,",Tray Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
